M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6
165.3679962,4023.889893,39.78139877,711.7130127,239.7559967,152.8159943
148.2579956,4090.51001,44.71789932,720.1300049,254.7960052,154.0599976
158.9859924,4000.389893,40.49140167,747.2130127,239.8430023,155.8769989
190.2890015,4002.02002,47.21340179,640.2189941,245.2480011,151.4360046
195.2879944,4048.850098,49.64569855,589.0460205,261.5190125,144.3300018
207.3619995,3990.429932,38.52560043,601.7030029,211.3500061,133.598999
152.2070007,4054.639893,42.7276001,731.6149902,248.8710022,150.2070007
208.7339935,3997.01001,61.2961998,632.0670166,276.5710144,167.0630035
174.0220032,4018.860107,38.35879898,694.3920288,237.4429932,150.25
189.5399933,4028.389893,51.24940109,620.382019,259.3370056,151.3099976
171.0980072,4108.529785,56.94039917,626.7839966,267.8959961,144.628006
152.6970062,4038.439941,41.98740005,737.1329956,247.621994,152.7949982
197.8410034,3999.030029,41.72040176,627.3560181,232.5639954,141.3419952
194.9149933,4010.449951,39.58850098,590.1519775,221.470993,131.5950012
190.552002,4066.139893,45.48799896,558.1439819,252.0579987,135.871994
234.2330017,4008.310059,65.65509796,597.335022,307.0310059,175.9080048
193.9779968,4032.899902,46.80059814,599.5109863,249.7350006,142.326004
168.9609985,4035.040039,40.60929871,685.3729858,242.4420013,149.8450012
218.5480042,4075.189941,57.89899826,574.0200195,300.8139954,166.9190063
189.8439941,4051.659912,45.11299896,566.3209839,251.0070038,135.8170013
154.4600067,4048.159912,41.74100113,732.1740112,247.6069946,149.8500061
190.2590027,4026.050049,50.48740005,619.3319702,257.803009,150.8959961
192.3390045,4046.389893,52.75519943,602.03302,263.9869995,146.6529999
163.7230072,4007.419922,38.2417984,755.0889893,228.2070007,158.3659973
191.0950012,4067.590088,56.11569977,583.8369751,278.9670105,152.0700073
183.6289978,4067.050049,55.08140182,605.4450073,270.5020142,148.3339996
196.2409973,4004.580078,43.10540009,625.8930054,237.1349945,142.2559967
191.154007,4057.870117,46.37369919,562.4630127,253.9550018,137.6470032
164.1889954,4020.159912,39.79510117,718.1439819,239.2879944,153.7180023
145.3549957,4110.169922,44.03530121,706.1729736,249.7230072,147.8359985
207.4609985,3983.399902,38.84590149,642.992981,225.8650055,143.9810028
213.7859955,4040.429932,60.85480118,595.5319824,290.3670044,162.7660065
191.6909943,4004.879883,37.79130173,650.8449707,230.6499939,142.2079926
207.4579926,4051.219971,59.76139832,592.4539795,286.3320007,160.0059967
155.7350006,4026.340088,40.94689941,740.4379883,243.352005,152.9429932
165.5679932,4036.550049,40.78139877,695.9429932,243.151001,151.1260071
197.4309998,4053.639893,52.12360001,585.8300171,268.8500061,145.2539978
184.2059937,3994.350098,54.97909927,655.5339966,252.0839996,156.8509979
169.223999,4058.860107,44.09540176,648.0200195,247.6929932,144.9900055
219.7200012,4022.320068,62.90990067,602.789978,294.5329895,170.1990051
185.9420013,4028.199951,41.08229828,603.0029907,233.727005,136.8000031
168.1419983,4026.5,39.65769958,700.9979858,239.970993,151.423996
170.4420013,4058.290039,44.12689972,642.9769897,247.3609924,144.3029938
191.0299988,4001.919922,46.57690048,639.4099731,244.6390076,150.9029999
182.0010071,4051.02002,54.54370117,617.3720093,262.0400085,144.7640076
183.0180054,4005.72998,58.39820099,665.6810303,264.7030029,161.322998
196.9470062,4051.600098,51.48220062,585.0910034,266.3909912,144.2819977
175.4720001,4045.280029,42.71789932,635.8469849,242.852005,142.9400024
145.3150024,4088.439941,43.96480179,722.5720215,254.1430054,156.5910034
189.0820007,4025.800049,41.64599991,562.7189941,233.2220001,128.0480042
155.1999969,4032.929932,41.08760071,738.3790283,244.3209991,152.1040039
203.9080048,3983.129883,40.99119949,636.9060059,227.8450012,143.5690002
183.9920044,3968.550049,57.62409973,660.1090088,247.8170013,165.6499939
163.0610046,4014.360107,39.84840012,724.4860229,239.503006,153.9440002
181.1210022,4013.540039,38.09930038,671.5859985,235.8190002,145.4120026
170.8139954,4034.02002,40.54880142,679.1870117,242.0119934,149.1000061
198.4450073,4058.550049,53.40930176,586.802002,273.697998,147.1790009
194.7319946,4001.129883,43.44169998,637.052002,240.0070038,144.6959991
156.3200073,4054.97998,42.36970139,703.59198,246.477005,149.2039948
158.6829987,4026.310059,39.68360138,745.4940186,237.5140076,159.9100037
141.8009949,4086.090088,42.68830109,695.3120117,246.9900055,147.477005
205.3560028,4077.110107,55.71020126,577.9379883,285.276001,153.826004
159.9819946,4018.280029,39.24089813,747.7249756,235.0509949,159.9649963
161.6470032,4036.820068,41.02569962,707.8540039,243.9259949,152.6150055
