M3_P_2_6,PhosphorusTreatment
8.601010323,0.0
8.779350281,28.2
8.696080208,0.0
8.99009037,0.0
8.496800423,0.0
8.809989929,0.0
8.581800461,0.0
7.926970005,0.0
7.654729843,0.0
8.649760246,28.2
8.57750988,0.0
7.719890118,22.5
8.72799015,0.0
8.897870064,0.0
8.6248703,0.0
9.659079552,0.0
9.066820145,0.0
7.749889851,0.0
8.925009727,0.0
7.887320042,0.0
8.565259933,0.0
7.938029766,0.0
7.764709949,0.0
7.614049911,0.0
9.121370316,0.0
8.328169823,16.9
7.839019775,0.0
9.021559715,22.5
8.684020042,28.2
8.511779785,0.0
8.713689804,0.0
8.576299667,0.0
8.902440071,28.2
7.79554987,0.0
8.583979607,0.0
8.577010155,0.0
8.00522995,16.9
8.474410057,0.0
8.577939987,0.0
7.655379772,22.5
8.473719597,0.0
8.57310009,0.0
8.653630257,22.5
7.715119839,0.0
9.104940414,0.0
9.198169708,0.0
8.803159714,28.2
7.821169853,28.2
8.050720215,16.9
7.828939915,0.0
8.423879623,16.9
8.550370216,28.2
7.916749954,0.0
9.071820259,0.0
7.857460022,0.0
8.923319817,0.0
7.782010078,0.0
8.855549812,0.0
9.394359589,0.0
7.830900192,0.0
8.840009689,0.0
8.26486969,16.9
7.805830002,0.0
8.520170212,0.0
7.701920033,0.0
7.588399887,22.5
8.790419579,0.0
9.055130005,22.5
9.461489677,16.9
8.866709709,0.0
