M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
399.4580078,3258.9899902,43.1525002,443.098999,252.5240021,16.8952007,462.6759949,3336.7900391,56.1815987,405.8049927,263.9450073,9.9927902,210.1829987,63.9827003,38.4989014,193.9049988,74.0048981,41.1437988,0.0
460.052002,3465.3798828,44.8342018,460.75,264.32901,17.7562008,513.3870239,3458.3100586,56.9864006,426.3760071,262.8529968,10.7147999,211.1000061,63.2666016,38.5307999,204.4940033,68.4964981,41.2178993,0.0
292.7139893,3755.3898926,53.7330017,458.1539917,239.3419952,15.8549995,362.3659973,3779.8601074,65.3667984,414.4649963,232.5099945,10.3150997,221.3600006,86.5787964,39.5299988,223.1849976,94.5702972,43.0283012,0.0
361.0769958,3358.8898926,40.7734985,431.0700073,238.0720062,17.0193996,405.9909973,3370.5500488,52.530201,389.0140076,236.3280029,9.7430601,212.0249939,64.4720993,38.607399,199.7109985,75.1501007,41.1931992,9.0
285.2860107,3776.7199707,44.1898003,436.3330078,216.3320007,13.5222998,333.8039856,3730.5500488,59.9165993,403.5570068,212.7640076,8.8516798,218.5319977,79.5332031,39.2757988,211.723999,81.7678986,42.3445015,0.0
462.2330017,3468.1298828,44.3955002,460.7630005,263.6849976,17.8216991,513.367981,3456.2600098,56.4948997,424.8710022,260.1350098,10.6556997,211.220993,63.3086014,38.5373993,204.6880035,68.9866028,41.2463989,0.0
373.1749878,3435.4299316,40.4604988,434.8859863,238.1450043,17.1261997,417.1610107,3421.0300293,51.7863998,393.9419861,224.9440002,9.9596901,211.9100037,64.1190033,38.591301,200.772995,75.9232025,41.2495995,9.0
358.1929932,3296.1499023,42.4897995,431.9410095,240.0639954,15.8021002,421.197998,3353.6799316,55.0251007,394.8630066,244.0350037,9.1946802,206.9830017,64.8022995,38.3820992,186.4450073,79.8184967,40.4468994,18.0
476.2650146,3477.8701172,44.5536995,465.3970032,267.2099915,18.0053005,528.5560303,3482.4299316,56.4454994,430.2510071,265.4930115,10.8105001,211.2250061,63.2209015,38.5360985,206.8029938,68.5269012,41.2403984,18.0
376.8340149,3450.5700684,40.6688995,435.8469849,238.2070007,17.1422997,419.6289978,3429.6000977,52.0912018,395.7730103,223.298996,10.0060997,211.8070068,64.2721024,38.5904007,201.0180054,75.5333023,41.2655983,9.0
282.5549927,3796.8200684,48.3008995,447.1690063,219.4790039,14.4258003,342.8670044,3780.3400879,62.3189011,410.697998,212.9160004,9.3576899,219.4579926,81.7934036,39.4584007,215.5679932,90.4013977,42.7328987,9.0
288.7969971,3750.1599121,43.9252014,435.3649902,216.9680023,13.5766001,337.0010071,3712.2399902,59.764801,402.8009949,215.4859924,8.8194704,218.3040009,78.4182968,39.2582016,210.2230072,81.6289978,42.3134003,0.0
294.9689941,3620.7099609,42.1271019,425.5679932,214.8350067,13.4716997,353.5769958,3609.4599609,57.2610016,400.1669922,217.201004,8.8347902,212.0149994,73.2730026,38.3889008,201.5410004,80.6598969,41.8473015,27.0
323.9379883,3570.9799805,38.3394012,423.223999,221.3939972,16.1539993,368.9979858,3545.8300781,51.4440994,390.848999,206.6640015,9.5452404,210.3990021,66.0610962,38.037899,198.2220001,78.789299,40.5087013,27.0
363.9930115,3270.7299805,42.4978981,432.0499878,241.3820038,15.8823004,425.2489929,3333.75,54.7327003,394.2869873,245.8619995,9.2295103,207.0,64.2120972,38.3815002,186.1730042,78.9942017,40.4412003,18.0
320.07901,3558.6000977,43.1362,439.1430054,231.8450012,15.467,381.7160034,3556.5,58.9821014,399.7449951,234.772995,9.1847496,222.6990051,70.9815979,40.5227013,204.0339966,81.4636002,43.2943993,9.0
