DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
237.7960052,166.9830017,122.0849991,35.5028,40.1973991,2.9411399,262.0320129,181.4850006,133.4640045,34.4443016,43.4196014,3.0736799,210.0899963,64.1333008,38.4925003,197.0859985,73.1968002,41.1351013,0.0
239.9579926,187.970993,125.2070007,35.6475983,40.5124016,2.9514599,263.3120117,202.5570068,135.1360016,34.5013008,43.7125015,3.04251,211.3840027,63.5758018,38.5536995,202.1589966,71.0917969,41.2757988,0.0
245.9570007,167.8670044,130.0269928,38.0592003,40.2851982,3.18084,265.5780029,185.8000031,143.1569977,36.0032997,42.5247002,3.3218501,219.8580017,68.1380005,39.7036018,200.220993,83.4128036,44.0036011,27.0
253.1000061,180.1230011,131.4900055,36.6987,42.1924019,3.0434101,272.8120117,195.151001,141.8170013,34.6743011,44.5386009,3.21487,212.0249939,68.629097,38.2127991,197.4160004,79.2391968,41.6223984,0.0
235.8840027,167.3769989,116.012001,34.9784012,40.0630989,2.93449,261.446991,188.4140015,130.0639954,33.9967003,43.3339996,3.02706,209.9279938,64.2303009,38.4886017,192.7039948,75.4245987,41.0323982,18.0
257.6879883,190.5809937,146.3359985,40.2038994,41.2747993,3.1754999,275.5700073,202.8209991,158.598999,37.8541985,43.2873993,3.65488,220.0330048,84.3520966,39.5153999,217.5310059,93.4469986,42.8418007,27.0
234.9179993,171.3249969,112.8349991,34.8773994,40.0491982,2.9459,261.4070129,196.7890015,128.5160065,33.8925018,43.3536987,3.0065701,211.651001,64.6957016,38.5993996,197.8860016,73.3554993,41.2546005,0.0
246.4660034,169.9660034,131.1089935,38.0952988,40.3539009,3.18016,265.6650085,186.2089996,143.1809998,35.9944,42.5536995,3.3175499,219.6269989,68.308403,39.6766014,199.423996,82.0935974,43.9187012,18.0
237.8359985,164.7440033,122.9550018,35.5596008,40.1767998,2.9412701,262.0910034,177.6959991,134.3509979,34.5122986,43.4164009,3.09477,209.9810028,64.7755966,38.4924011,197.9250031,74.0967026,41.1314011,18.0
235.5820007,164.2960052,115.7210007,34.8628006,39.9939995,2.92588,261.2409973,181.9309998,129.7129974,33.908699,43.2575989,3.0276699,208.7380066,64.2511978,38.417099,188.8710022,77.6111984,40.7792015,18.0
252.4790039,165.3329926,132.6089935,39.330101,40.7289009,3.16224,273.5710144,180.3280029,150.3130035,37.3577995,42.8543015,3.4477601,219.3609924,74.8908005,39.4117012,212.4360046,89.5086975,42.718399,0.0
252.654007,166.5690002,133.8209991,39.4263992,40.7673988,3.1637599,274.0509949,185.2550049,152.128006,37.5088997,42.9514008,3.47803,219.2859955,73.905899,39.4436989,210.4730072,89.2335968,42.8521996,9.0
241.1029968,181.0650024,129.2980042,36.0397987,40.5643005,2.95502,263.4020081,190.5650024,136.9499969,34.8294983,43.7056007,3.07072,211.1750031,63.2901993,38.5340996,204.7290039,68.7612,41.236599,0.0
234.0149994,164.1159973,124.8410034,36.8921013,38.7478981,3.09446,257.9330139,176.2879944,138.4420013,35.7770004,41.8205986,3.2207999,218.4880066,67.2165985,39.6929016,204.2669983,80.6268997,42.6809998,18.0
235.9470062,163.6100006,117.1880035,35.0250015,40.0175018,2.9298,261.3859863,180.7599945,130.8540039,34.0581017,43.2855988,3.04656,209.1320038,64.5077972,38.4427986,191.0189972,77.0255966,40.9025993,27.0
261.5320129,196.404007,155.2480011,40.5064011,41.6660995,3.1724601,275.8110046,197.8699951,159.7859955,37.9290009,43.4103012,3.60765,219.2319946,82.2820969,39.3540993,216.6869965,84.6353989,42.5647011,0.0
253.1820068,176.1439972,132.0610046,36.7706985,42.1795006,3.0436299,272.802002,190.6929932,142.352005,34.7247009,44.5115013,3.22944,211.7319946,68.7294998,38.1889,196.3009949,80.0952988,41.5908012,9.0
235.1009979,165.1529999,122.7440033,35.2557983,39.1137009,3.0559499,261.3590088,183.1390076,137.6430054,33.9319992,42.4071007,3.1757801,218.5149994,66.5467987,38.2047997,196.0769958,81.572998,43.1395988,27.0
255.223999,172.5639954,139.5570068,39.6469994,41.0236015,3.16487,274.6629944,191.3249969,154.4640045,37.6020012,43.1409988,3.47769,218.8840027,73.4385986,39.3781013,208.3029938,88.3463974,42.6651001,0.0
236.4940033,173.3679962,116.8399963,35.1254997,40.1472015,2.9377601,261.6549988,198.1820068,129.947998,34.1174011,43.3718987,3.0353,210.5079956,63.5611992,38.5098991,192.8200073,72.9971008,41.3580017,0.0
236.4149933,168.2089996,117.4840012,35.1447983,40.1108017,2.9374499,261.5939941,188.9839935,130.7350006,34.1338005,43.3574982,3.0382299,210.1829987,63.9827003,38.4989014,193.9049988,74.0048981,41.1437988,0.0
241.0939941,180.1600037,129.3390045,36.0647011,40.5519981,2.9544899,263.2829895,189.352005,136.8390045,34.848999,43.6837997,3.0690801,211.1000061,63.2666016,38.5307999,204.4940033,68.4964981,41.2178993,0.0
257.3770142,191.1000061,145.6840057,40.1875,41.2355995,3.1839399,275.7609863,204.378006,159.677002,37.9127007,43.368,3.62117,221.3600006,86.5787964,39.5299988,223.1849976,94.5702972,43.0283012,0.0
236.5110016,180.0570068,115.6729965,34.906601,40.2237015,2.9486699,262.2330017,204.9440002,130.8170013,33.9073982,43.575901,3.0053799,212.0249939,64.4720993,38.607399,199.7109985,75.1501007,41.1931992,9.0
