H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
48.5929985,2068.8500977,4.5244598,64.9704971,41.6730995,4.6202998,55.2057991,2091.4799805,4.9424701,48.5646019,36.6619987,1.77305,240.6399994,94.5843964,39.5349007,211.1640015,106.6269989,33.4707985
42.4589005,2140.8701172,4.6865101,64.3349991,41.4113998,4.4513001,49.2067986,2126.7600098,4.9885802,48.7904015,37.9878006,1.78795,233.4440002,98.9809036,36.3386002,207.5099945,111.0540009,30.9624996
35.2699013,2163.9499512,4.79107,65.950798,42.7560997,2.72558,36.9459,2017.0300293,4.8941998,52.1041985,41.4642982,1.6825,227.8930054,100.5449982,38.9977989,213.6580048,117.6869965,40.2995987
42.3731003,2002.8299561,4.4935899,66.3619003,42.531601,3.3693399,48.1805,2029.9100342,4.7606802,50.0680008,38.1997986,1.68406,244.6820068,90.7415009,42.3805008,217.1049957,106.6539993,35.280201
36.0191002,2190.2199707,4.5144401,70.7886963,42.3824997,3.71859,41.0736008,2182.6201172,4.9667001,52.2184982,39.5242004,1.71172,224.8569946,106.9140015,140.6159973,206.7149963,117.2139969,48.844101
39.5960999,1979.5,4.6210399,67.4555969,40.0642014,2.50072,45.660099,2008.8599854,5.0616498,50.9199982,37.6563988,1.5056601,213.9199982,95.6752014,140.0619965,199.3139954,106.0169983,42.5136986
41.5786018,1945.3399658,4.0730901,68.8507004,42.1044998,1.84179,48.8414993,1960.6300049,4.7546401,58.2574005,38.2458,1.60533,231.871994,101.6350021,41.8227997,233.5279999,113.7310028,42.4081993
48.9211006,2027.6400146,4.5282402,64.9925995,42.0928001,3.5538399,54.2645988,2051.3601074,4.7623301,48.8907013,36.4308014,1.72691,244.9100037,91.8339996,42.0214996,212.279007,105.2210007,35.0810013
43.8647003,2085.3601074,4.5612898,64.0787964,41.6321983,3.3958001,50.5348015,2094.2399902,4.95399,48.5381012,37.3867989,1.78216,238.9219971,91.9822998,39.4746017,208.9669952,106.0449982,33.4431992
62.912899,1901.6400146,4.1370902,65.8591995,39.6594009,1.75023,67.8984985,1923.8100586,4.8017502,50.6125984,34.5223999,1.4854,220.0850067,83.0792999,132.4389954,207.0010071,100.2529984,46.2024002
38.0311012,2127.4499512,4.6795602,66.7347031,41.0943985,3.1863301,43.0960007,2133.1000977,5.17453,50.7076988,38.5511017,1.64767,217.1260071,101.0039978,122.4420013,205.7850037,113.5759964,39.5355988
53.6246986,1968.3399658,4.4211302,64.9279022,41.4310989,2.9026201,56.2574997,1991.2900391,4.6870399,49.8507004,35.7787018,1.66294,245.4069977,92.8759003,42.9040985,216.2910004,105.4329987,37.5433998
