M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
398.3800049,3544.5100098,47.0508003,790.0880127,390.8070068,153.1269989,430.5710144,3663.6999512,59.0551987,647.5449829,373.6730042,107.7939987,210.4450073,56.6329994,29.7677002,191.3000031,73.4401016,25.7150993,16.9
416.3850098,3632.3300781,49.9718018,808.4140015,404.8779907,148.3580017,447.8320007,3745.9099121,61.7228012,660.934021,387.5750122,100.8000031,212.0749969,59.3040009,28.9780006,190.3070068,77.1261978,25.5667992,0.0
548.7399902,3157.7199707,89.7292023,790.9069824,482.8349915,230.477005,593.1339722,3229.5100098,100.2480011,553.7130127,465.5880127,166.8789978,207.6040039,43.4384995,34.9738998,196.9680023,57.7815018,25.7411995,0.0
459.3909912,3604.9199219,63.5229988,841.3250122,406.4370117,143.8679962,476.4689941,3695.8400879,71.2975998,676.9970093,390.0610046,87.9669037,211.3650055,61.9413986,31.6264992,193.8800049,83.9639969,27.2478008,0.0
526.2650146,3195.8898926,80.6471024,765.3579712,481.67099,223.7910004,572.3759766,3278.6799316,93.1322021,558.8439941,467.0549927,161.4259949,207.2579956,44.0060005,32.6682014,193.4519958,58.6407013,24.7635002,11.3
382.5710144,3500.3100586,44.0175018,771.8809814,377.4030151,151.6459961,414.4259949,3614.1899414,56.7737007,636.6090088,360.9719849,111.9810028,210.3090057,55.5371017,30.0084991,192.2839966,71.0513,25.6494007,5.6
513.598999,3232.8300781,75.0183029,751.4760132,483.4719849,219.276001,561.6640015,3324.0300293,89.1705017,568.3280029,471.1459961,158.1470032,206.8560028,44.263401,30.2271996,189.3110046,59.2238998,23.7458,0.0
494.1929932,3452.1398926,70.2768021,859.6669922,442.9559937,176.6609955,519.5570068,3579.2199707,81.2117004,640.7520142,425.3630066,105.8960037,221.4649963,58.9216003,35.479599,191.6499939,78.8859024,26.5926991,5.6
435.1440125,3592.1499023,52.3418999,756.2750244,436.0570068,153.7879944,474.8970032,3671.8999023,68.2528,638.3930054,427.2850037,123.9710007,205.322998,55.5858002,27.1854,185.5429993,68.8820038,23.4990005,0.0
381.8380127,3491.3798828,43.9025993,770.28302,374.0759888,150.8730011,413.7349854,3600.5100098,56.7265015,634.3369751,358.4020081,112.6200027,210.2649994,55.2944984,29.8176003,192.5579987,70.7520981,25.6170998,5.6
426.8900146,3628.5900879,52.2776985,815.6959839,406.0159912,147.5910034,454.6400146,3734.3200684,63.399601,666.4169922,389.4620056,98.6838989,211.2400055,59.7299004,29.4449005,191.3119965,78.3792038,26.2609997,0.0
515.7280273,3161.0900879,75.1952972,752.4810181,492.6199951,229.2590027,567.1259766,3293.9299316,89.2526016,574.2960205,479.9110107,158.3800049,206.4519958,42.7541008,27.6961994,184.6410065,59.3669014,22.8260002,0.0
445.9960022,3344.3000488,52.3684998,642.5130005,427.9299927,173.8119965,479.3139954,3403.9699707,68.7928009,508.2510071,427.6650085,140.4830017,202.4170074,48.3278008,25.0848999,193.9759979,60.9047012,21.6632996,11.3
500.5840149,3319.7099609,69.2356033,741.1170044,487.7099915,212.6929932,550.0460205,3395.1899414,85.7923965,591.4039917,477.9729919,155.6820068,206.1320038,44.6323013,27.2096004,183.8110046,59.7645988,22.2115993,5.6
546.9609985,3169.6999512,89.2288971,787.7769775,479.4500122,227.4669952,590.4229736,3238.9899902,99.8037033,551.2139893,462.9880066,166.2480011,207.5449982,43.7056007,34.4761009,197.0599976,57.8228989,25.5510998,0.0
473.631012,3361.9399414,60.6604996,689.9470215,462.4379883,188.2949982,515.4890137,3424.3400879,77.177597,551.3950195,456.946991,145.427002,202.4049988,47.3886986,27.3497009,188.7630005,61.0597,22.3342991,16.9
453.0190125,3618.1499023,59.9067993,837.4819946,411.2650146,146.8179932,472.7709961,3727.3701172,68.9101028,677.8259888,394.0559998,89.1185989,211.3549957,61.7844009,31.8276997,192.9060059,83.2406998,27.4043007,5.6
487.0820007,3283.4699707,67.2254028,716.632019,462.8699951,203.3399963,528.5629883,3350.8000488,81.6606979,548.6049805,453.0639954,152.5509949,206.8549957,45.9692993,29.6590004,193.3760071,59.6390991,23.6362,0.0
512.1849976,3237.3601074,75.4953003,748.2069702,475.6730042,215.6410065,557.2160034,3313.6298828,89.0317993,557.7340088,463.2120056,158.1239929,207.0559998,44.7681007,31.2700005,192.8450012,59.0452003,24.2254009,0.0
426.4620056,3595.8300781,53.3111,813.0180054,399.7850037,146.647995,452.3789978,3690.4099121,63.9006004,665.2260132,384.0379944,99.6264038,211.1430054,59.4071999,29.8071003,192.7619934,77.9718018,26.5279007,0.0
426.8349915,3766.0300293,49.5446014,818.7080078,425.8699951,146.6410065,460.5539856,3894.0100098,61.8244019,636.78302,403.223999,92.4129028,212.0720062,61.547699,27.9780998,183.048996,80.3828964,24.4601994,0.0
471.6319885,3562.9099121,57.0946007,692.8510132,469.2149963,164.3090057,513.6019897,3558.2399902,76.9834976,586.322998,466.0010071,146.5709991,206.2769928,49.6906013,26.0674992,186.3959961,60.2624016,22.5683994,16.9
379.4450073,3447.7600098,43.4687996,764.026001,360.5809937,149.5619965,410.8389893,3535.7399902,56.4664993,627.3779907,348.1700134,114.9889984,209.9499969,53.8930016,29.6411991,194.8040009,69.6043015,26.0037994,5.6
436.802002,3734.4899902,51.1674995,821.5130005,419.6600037,147.875,464.2820129,3892.4099121,63.1674004,663.6939697,403.6390076,91.2694016,211.0169983,60.6921997,29.1520004,182.3789978,81.2354965,26.0734997,16.9
388.9620056,3510.8200684,45.3894997,778.132019,378.6919861,150.1439972,421.6159973,3615.5800781,57.9098015,639.1160278,363.6180115,111.3150024,210.3110046,55.7877998,29.0433998,192.0189972,71.6336975,25.5114002,0.0
420.5220032,3586.8701172,51.8317986,807.4229736,397.3460083,146.8639984,447.5169983,3679.5100098,62.7546005,663.1199951,381.8210144,101.8799973,211.0910034,58.9311981,29.5862007,192.897995,76.830101,26.4617004,0.0
436.3139954,3752.9299316,50.7271004,818.2260132,419.9219971,146.1869965,464.32901,3928.8798828,62.8440018,662.7509766,406.2810059,90.118103,210.7649994,60.6408005,28.2289009,177.1699982,81.3858032,25.3647995,16.9
