H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
71.3715973,1951.8399658,5.2224398,64.1604004,62.6388016,4.4235702,68.4634018,2000.0999756,5.3527799,50.9631996,63.980999,2.39187,210.5599976,64.9745026,38.5388985,195.1360016,76.3373032,41.0850983,9.0
72.0294037,1942.9799805,5.1742401,64.365303,63.4841995,4.5985198,73.1692963,1991.6199951,5.7665601,51.0619011,63.9283981,2.5644,211.723999,63.4253998,38.5689011,198.5500031,74.8223038,41.2559013,0.0
46.4267998,2088.0100098,4.3469,61.4998016,63.4314995,2.2128601,50.3213997,2083.6101074,5.76512,50.2215004,59.0713997,1.53272,220.6410065,87.0052032,39.5466003,220.8179932,95.0616989,42.9365005,9.0
55.9206009,2029.9599609,5.2056298,63.1020012,65.9448013,3.56917,55.2123985,2041.6300049,6.1327701,49.9896011,64.0587006,1.95061,224.151001,73.6900024,40.6595993,212.3049927,88.2240982,43.7388,0.0
48.9410019,2078.8898926,4.4549098,61.4063988,62.0397987,2.7934201,49.527401,2105.4399414,5.2221899,50.1248016,63.5042992,1.46404,219.5829926,81.4204025,39.3987999,212.7590027,90.5743027,42.7015991,27.0
72.6476974,1946.2700195,5.0514302,62.9636993,62.9841995,4.2364998,71.6545029,1982.7399902,5.6757398,50.0508003,64.3431015,2.4779799,218.5829926,66.6992035,38.2118988,196.4409943,81.7294006,43.1579018,27.0
64.0712967,1982.9899902,5.20436,62.5634995,64.6093979,4.0946002,65.808403,1997.0,6.3913798,50.9533997,63.8073997,2.53725,217.2599945,69.3548965,40.200901,204.2220001,84.1026001,43.7285995,18.0
57.5680008,2020.5799561,4.5734601,61.358799,60.9508018,3.4287601,56.6562996,2058.6999512,5.00033,50.0932007,62.905201,1.85119,217.8860016,73.0314026,39.2528992,204.6210022,85.1560974,42.3298988,18.0
57.9715004,2010.9799805,5.0861301,64.1306992,61.2478981,3.8051901,56.0816002,2047.6099854,4.8870502,50.8005981,56.8622017,2.0415001,211.5679932,65.8731995,38.0985985,201.9850006,77.6881027,40.6001015,27.0
50.5549011,2039.4000244,3.9409001,60.9630013,56.1026001,2.70403,49.8370018,2073.0300293,3.82672,50.0101013,55.0237999,1.63097,218.1069946,77.4489975,39.2430992,208.0399933,80.9345016,42.2100983,27.0
80.5503998,1902.4899902,5.3186898,64.1442032,63.2046013,4.85677,79.7533035,1950.4100342,5.8203301,51.0262985,66.0683975,2.8455901,209.7610016,64.2297974,38.4785995,192.197998,75.7670975,40.9962006,18.0
42.780899,2077.1201172,3.7697699,60.8078003,54.9655991,1.56217,47.9538994,2093.1201172,4.3331399,50.0667,52.644001,1.2964,218.4640045,76.0908966,39.4445992,204.9429932,88.3535004,42.4129982,0.0
83.8015976,1900.3199463,5.4432502,64.4891968,64.1892014,5.4691801,85.7304001,1911.8000488,6.9893298,51.2613983,63.9957008,3.3740301,211.0449982,63.2795982,38.5293999,203.6690063,68.4313965,41.2089996,0.0
44.4906006,2066.8400879,3.8441401,60.9384003,56.2050018,1.9276,49.6250992,2089.8601074,4.4131799,50.0413017,52.780899,1.3307,219.0919952,78.6927032,39.4446983,211.1829987,88.8751984,42.5783005,0.0
71.1203995,1948.6300049,5.14923,62.661499,63.4802017,4.2825098,71.9878998,1980.4300537,6.0623102,50.0335999,64.1368027,2.64311,216.826004,66.3906021,39.4300003,197.6109924,81.2380981,43.1777992,27.0
79.3806,1910.2199707,5.18325,62.4071007,62.7979012,4.46732,79.0442963,1949.9799805,5.8905101,49.7767982,64.9459,2.78053,207.6100006,64.4840012,38.4269981,188.3659973,78.667099,40.6222,27.0
81.9802017,1914.2199707,5.3264999,64.5915985,63.8474007,5.47404,81.7474976,1939.3299561,6.84411,51.2523994,62.8880005,3.1167901,211.3430023,63.3642998,38.5495987,205.0460052,69.5115967,41.2601013,0.0
69.4504013,1960.3599854,5.1606498,63.8828011,63.6077995,4.1512599,69.6191025,1990.0100098,5.8172698,50.6847,64.2582016,2.4633501,218.6889954,67.2715988,39.3843002,199.1289978,82.5980988,44.713501,27.0
41.5359001,2078.5900879,3.67816,60.7354012,54.0824013,1.35663,46.4384003,2095.7099609,4.1733499,50.0617981,52.2033005,1.28417,218.4720001,75.597702,39.4469986,204.6000061,87.9845963,42.3959999,0.0
61.5993996,1988.9599609,4.7112699,62.3693008,59.5000992,3.68345,60.1081009,2043.5100098,4.6012902,49.6484985,59.9454994,1.9681,210.8309937,68.3592987,37.9332008,198.0480042,79.3888016,42.4327011,27.0
63.531601,1985.4399414,4.59237,62.8488998,60.6130981,3.7123499,62.5385017,2030.3299561,4.7451601,49.7975998,61.4698982,2.0104401,222.6849976,70.9938965,40.5163002,204.0460052,80.1708984,43.2560997,9.0
81.8927002,1897.5600586,5.3767099,64.1023026,63.1563988,4.9231501,81.6269989,1943.25,5.93929,51.0442009,65.9185028,2.90553,209.2870026,64.3892975,38.4506989,191.5010071,76.5366974,40.9325981,0.0
59.1562996,2003.3299561,4.9484401,63.8317986,60.7052994,3.8789301,57.0276985,2052.9699707,4.8740101,50.7019005,59.8791008,1.97453,210.3509979,66.3840027,37.9919014,196.3370056,79.3337021,40.3395996,27.0
57.4160995,2023.3199463,5.0240798,62.9835014,63.8117981,3.51912,56.6576004,2047.0899658,5.64503,49.9244003,63.8414993,1.86385,223.4290009,70.8760986,40.6091995,207.128006,86.1600037,43.604599,0.0
85.5030975,1896.0500488,5.4396501,64.5652008,64.2165985,5.67524,84.8880997,1922.8900146,7.1139598,51.2991982,64.3174973,3.28443,211.2230072,63.2258987,38.5360985,206.6380005,68.5572968,41.2401009,18.0
58.1102982,2009.3299561,4.9822602,63.8652,60.6535988,3.84935,56.3412018,2057.4699707,4.8808799,50.7090988,59.3423004,1.9297,210.5050049,66.2315979,38.0113983,197.125,79.0121994,40.3928986,27.0
44.1189995,2084.9099121,3.99401,61.1334,58.7426987,1.79354,49.8881989,2089.4299316,5.0215902,50.1389008,55.1397018,1.3660001,219.5449982,81.7904968,39.5035019,213.6309967,92.1975021,42.7169991,0.0
63.0587997,1982.4799805,4.6981201,62.6668015,59.7425003,3.5680301,62.6827011,2030.4200439,4.7828398,49.9886017,60.7775002,1.98826,219.3739929,69.7040024,39.7289009,201.8840027,80.9128036,42.9239006,9.0
62.8236008,1996.5200195,5.0249901,64.3964005,62.1375999,4.0745802,60.6058006,2032.8900146,5.0990601,51.0047989,58.471199,2.1412301,212.3240051,65.5502014,38.6404991,203.3079987,77.4092026,41.3055,0.0
61.0985985,1987.3900146,4.56563,61.5533981,59.0741005,3.45999,60.5248985,2034.8800049,4.63833,49.5494003,59.4609985,1.92275,216.4960022,70.8856964,38.3821983,201.2129974,80.3723984,41.8255997,0.0
60.2515984,2008.7099609,5.0643902,63.0051994,63.9570999,3.7035601,59.3888016,2034.9399414,5.6775198,49.910099,64.040802,1.9648499,223.2330017,69.9087982,40.5942993,205.9570007,85.2478027,43.5158997,0.0
76.9153976,1918.5999756,5.0328302,62.4742012,61.946701,4.4186702,74.6589966,1974.7700195,5.3647799,49.7669983,64.1367035,2.5963299,207.2599945,64.9742966,38.3975983,187.3240051,79.6811981,40.4771996,0.0
65.5335007,1971.5999756,4.6496801,62.4832993,60.1007004,3.60392,65.2489014,2018.3699951,4.8097701,49.2266998,61.2055016,2.0583,219.4360046,69.3989029,39.4238014,199.3950043,80.6872025,41.7815018,9.0
45.1635017,2062.0,3.79252,60.8805008,55.3146019,2.2151501,45.5647011,2087.1201172,3.7816501,50.0046997,51.8833008,1.46969,218.6849976,79.3062973,39.3125,209.3110046,82.2366028,42.2164993,0.0
45.6945992,2085.5800781,4.03233,61.2043991,59.2933998,1.99462,51.037899,2085.8601074,5.0160899,50.1497002,55.8543015,1.38937,219.7310028,83.058197,39.4925003,216.2369995,92.3124008,42.7911987,0.0
43.7458,2072.0200195,3.79229,60.7955017,54.9020996,1.73553,48.5545006,2091.2099609,4.2586098,50.0479012,52.4575005,1.30152,218.1999969,75.6912994,39.4219017,203.697998,87.4952011,42.3535995,0.0
43.4785004,2081.5900879,3.9047699,61.012001,57.301899,1.69551,49.3017998,2091.2299805,4.7739501,50.1100006,54.0514984,1.33239,219.1649933,79.6819,39.4846001,210.6170044,90.8989029,42.6139984,9.0
70.1136017,1955.5400391,4.85004,61.6593018,61.0466995,4.0499902,68.5846024,2002.8699951,5.1490502,50.2131996,62.8773994,2.26402,216.0039978,67.276001,38.2542992,196.1869965,81.3958969,42.8035011,9.0
66.6660995,1970.5799561,5.0865302,63.2767982,63.3666992,4.2146602,67.0772018,2004.1300049,5.79457,50.9431,64.5455017,2.3704901,220.0749969,67.957901,39.7277985,201.0379944,84.3826981,44.0824013,27.0
60.419899,2008.1999512,5.19171,63.0653992,65.0189972,3.7889199,59.4817009,2028.9499512,5.9299002,49.9331017,64.3264999,2.0143499,223.4559937,70.084198,40.6156006,207.3029938,85.8041,43.5581017,9.0
54.4936981,2013.6099854,4.3920102,61.3610001,57.5439987,3.1442101,54.3988991,2060.2900391,4.3372402,49.2860985,57.1430016,1.78767,217.6320038,73.5296021,39.705101,205.0469971,80.2279968,43.0387001,27.0
43.2711983,2078.0400391,3.8359101,60.9039993,56.044899,1.6559401,48.8348007,2092.0,4.5320601,50.0830994,53.2145996,1.31104,218.776001,77.703598,39.4609985,207.6049957,89.4862976,42.5060005,0.0
80.3735962,1902.4200439,5.3255701,64.1780014,63.4380989,4.8738799,79.8131027,1949.4499512,5.8908501,51.0368004,66.4953003,2.8652501,210.1300049,64.2365036,38.5008011,193.2709961,75.0337982,41.0750999,18.0
44.3400993,2065.4899902,3.7572999,60.7431984,54.240799,1.91754,47.043499,2089.4699707,3.9154601,50.013401,51.7210007,1.351,217.9290009,75.5325012,39.3627014,202.5420074,84.5184021,42.2033997,0.0
44.963501,2067.9599609,3.8556399,60.9958,56.490799,2.27144,45.8610992,2089.0300293,3.97194,50.0172005,52.6724014,1.4662499,219.3119965,81.7916031,39.3204002,214.3619995,82.5973969,42.3137016,0.0
85.9110031,1892.3499756,5.46035,64.5542984,64.2526016,5.6926999,85.2802963,1920.1500244,7.1348701,51.3105011,64.5920029,3.31668,211.1999969,63.2027016,38.5331001,207.2180023,68.4128036,41.230999,18.0
80.2298965,1897.75,5.3375201,64.2429962,63.8638992,4.9152598,80.5401001,1945.4499512,6.0369101,51.0620003,67.4027023,2.94767,210.7619934,64.1483994,38.5368004,194.6380005,73.7929001,41.2285004,18.0
42.4006996,2075.9199219,3.7002599,60.7271996,53.9948997,1.47938,47.0892982,2093.8100586,4.1291299,50.0526009,52.1665001,1.29182,218.279007,74.9505005,39.4295998,203.3650055,87.3581009,42.3474998,0.0
46.9160004,2090.8999023,4.1654501,61.3581009,61.1713982,2.1494701,51.3744011,2083.7900391,5.2894201,50.1926994,57.7807007,1.44116,220.2409973,85.2666016,39.510601,219.3860016,93.6484985,42.9037018,27.0
60.7083015,2005.8299561,4.9148302,62.9485016,62.8903999,3.66203,59.9550018,2038.9599609,5.4170299,49.8809013,63.6935997,1.9475501,223.0209961,70.4380035,40.5671005,205.0359955,84.389801,43.4445,27.0
60.8776016,2001.0899658,4.62988,62.8518982,60.9887009,3.56565,60.2458,2042.7700195,4.9026499,49.8277016,62.078701,1.9218301,222.8630066,71.9578018,40.5303001,205.2299957,82.0585022,43.351799,9.0
58.8148003,1998.1600342,4.5430298,61.3956985,58.6444016,3.3569,58.6318016,2045.3499756,4.5841899,49.2911987,59.0896988,1.88696,217.345993,72.0818024,39.6971016,202.8959961,80.5389023,42.9921989,0.0
66.3464966,1971.2700195,5.2720799,62.7187004,64.7192001,4.0752501,68.577301,1986.9799805,6.5502901,50.0713997,63.8942986,2.6166101,217.6549988,68.5009995,39.4958992,202.3040009,82.9588013,43.3494987,18.0
82.9380035,1860.1800537,5.3781199,64.2977982,63.7198982,5.14358,87.9552994,1911.4499512,6.4603,51.1819,67.8560028,3.48791,210.4409943,63.4095001,38.5031013,191.3600006,73.2624969,41.456501,0.0
80.5505981,1902.25,5.30195,64.0781021,62.770401,4.8049698,79.2558975,1953.1600342,5.66961,51.0018997,65.3011017,2.8169301,208.9620056,64.235199,38.4304008,189.602005,77.2533035,40.8263016,18.0
51.2748985,2057.2099609,4.4140902,61.3107986,60.5838013,2.9649,51.5295982,2091.75,4.9331298,50.0910988,62.5331001,1.57723,218.6230011,78.0574036,39.3182983,209.3589935,86.9820023,42.5237007,0.0
72.8291016,1938.7099609,5.2006001,64.3355026,63.7247009,4.6237702,73.5131989,1991.2199707,5.7761798,51.0452003,65.1222,2.54811,211.7740021,63.3885994,38.5713005,197.9490051,74.6769028,41.2485008,0.0
