H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
137.25,1431.9599609,18.9144001,137.447998,113.4300003,187.0619965,142.5570068,1516.8699951,23.7765999,86.9741974,107.2939987,117.9380035,206.4420013,45.0705986,28.1944008,186.4559937,59.7027016,22.8362999
75.1559982,1795.2800293,6.4134202,150.7149963,106.5920029,54.6824989,69.3675003,1679.0100098,6.4211402,93.1363983,92.3359985,24.5025005,211.223999,60.196701,30.2418003,192.602005,79.8473969,26.6772995
74.9800034,1766.3100586,6.2059798,146.1829987,104.0009995,57.3568993,72.7497025,1684.5899658,6.8308601,93.3836975,92.509697,20.3034992,211.4779968,61.9239998,33.793499,196.4880066,83.9477005,28.2686005
93.5607986,1671.9499512,10.2932997,153.6690063,108.1800003,106.0940018,87.4525986,1643.4599609,12.6976004,89.7591019,92.9002991,43.2551003,221.4850006,58.8809013,35.5625992,191.677002,78.8576965,26.5898991
72.4517975,1845.6700439,5.9714799,166.302002,112.2139969,65.0317993,70.3766022,1685.6999512,6.0862398,94.4863968,94.6994019,36.2715988,210.0379944,53.6678009,30.6359005,194.6170044,69.0682983,25.6602993
122.375,1521.2299805,15.4713001,130.2460022,115.6330032,157.1490021,126.5910034,1546.5500488,19.309,85.0627975,109.9779968,99.7033997,202.628006,46.8438988,28.6639004,190.2890015,61.2178993,22.7280006
124.4690018,1501.3699951,16.6154995,135.6880035,113.586998,167.5529938,131.5980072,1519.6899414,20.9909,86.8574982,107.387001,110.3909988,206.8840027,45.9044991,29.8271999,193.6349945,59.5946999,23.7098007
114.4110031,1574.6500244,13.7427998,126.4240036,116.939003,138.2449951,117.7779999,1550.2099609,15.8133001,84.9741974,110.3180008,87.2819977,202.6549988,47.4854012,27.3292999,193.6660004,61.0654984,22.8271999
104.9649963,1613.7900391,11.1739998,124.8379974,115.0390015,82.245697,113.6760025,1537.0400391,17.8813,85.9401016,109.0780029,98.4673996,206.1699982,50.7773018,25.7208996,184.8910065,60.1579018,22.9095001
74.8638992,1803.1099854,6.42484,152.6060028,108.1949997,56.7350998,68.3116989,1677.1800537,6.2460198,93.1123962,92.3041992,27.7835999,211.1089935,59.0032005,29.5256004,192.6670074,76.9586029,26.4148998
73.8387985,1810.3399658,6.2070899,159.0350037,110.6240005,63.3324013,67.9516983,1682.4699707,6.1524301,94.0141983,94.1684036,30.3321991,210.4470062,56.7111015,30.0167007,191.3170013,73.7768021,25.8143005
100.9349976,1654.8599854,11.1028004,117.4599991,118.1729965,108.4589996,102.4349976,1555.4100342,12.0553999,84.7081985,110.8259964,77.4637985,202.9409943,48.0677986,25.1709003,204.7310028,60.9920006,23.6573009
75.4197998,1787.7900391,6.40622,149.0500031,105.6360016,53.6903,70.2337036,1680.3299561,6.5475101,93.1539001,92.3655014,22.4438992,211.3029938,61.0175018,30.8131008,192.3320007,81.6511993,26.9050999
75.370903,1789.0600586,6.3582501,148.4889984,104.7009964,51.7709007,70.7451019,1681.3599854,6.6270499,93.194603,92.3889008,21.2376995,211.3320007,61.5054016,31.2863007,193.2870026,82.9067001,27.1098995
75.1716995,1794.9300537,6.4704299,151.6699982,107.5849991,56.4234009,68.3626022,1677.5600586,6.3042002,93.0602036,92.2740021,25.5685997,211.2400055,59.8223991,29.5716,191.4230042,78.6405029,26.3262997
142.5939941,1377.8299561,21.8645,149.9819946,112.2610016,228.2890015,152.1560059,1511.5,28.5,86.9526978,106.7490005,143.2279968,208.173996,42.3688011,38.5379982,200.3280029,57.357399,27.2996006
75.4537964,1786.0899658,6.35532,147.9089966,104.6299973,51.8720016,71.0110016,1681.6700439,6.65412,93.2009964,92.3992004,20.9790001,211.3500061,61.6763,31.4759007,193.1600037,83.1231995,27.1996994
141.6210022,1392.9799805,20.8778,144.9609985,112.5830002,216.9640045,149.4730072,1513.2700195,27.0939007,86.9280014,106.9199982,135.977005,207.5919952,43.2010994,34.9012985,195.3690033,58.0959015,25.6487007
136.1470032,1422.0600586,19.7980995,142.6170044,112.6620026,203.4360046,144.4989929,1514.5,26.0776997,86.9133987,106.987999,133.6360016,207.4689941,43.7756996,34.0318985,195.9450073,58.1290016,25.3528996
74.9296036,1800.8000488,6.46416,153.0679932,108.4530029,57.4818993,67.4033966,1676.2800293,6.1785598,93.0305023,92.2316971,27.3243008,211.1900024,59.1706009,29.0907993,191.552002,77.0658035,26.1196995
109.3280029,1602.1199951,12.7160997,123.973999,116.9830017,126.2829971,113.3440018,1551.4499512,14.8206997,84.9470978,110.3899994,85.2233963,202.6009979,47.8759003,26.2653999,194.923996,60.9832993,22.6322994
107.0569992,1618.9799805,12.2386999,122.5709991,117.5759964,121.4160004,110.3209991,1552.7800293,13.5648003,84.8945007,110.5350037,80.6647034,202.6710052,47.9637985,25.9669991,196.9940033,60.9768982,22.8509007
115.9769974,1565.9599609,14.0677004,127.2080002,116.9209976,142.4380035,119.1439972,1549.8299561,16.1515007,84.9793015,110.2939987,88.0047989,202.6840057,47.3510017,27.7560005,193.3670044,61.1044998,22.8941002
124.9369965,1498.9699707,16.5785007,135.2519989,113.612999,165.6829987,131.8619995,1519.6800537,21.0729008,86.8732986,107.3990021,110.1959991,206.7559967,46.0530014,29.2054005,192.0700073,59.7150002,23.4158993
112.4609985,1580.1099854,14.3309002,148.8619995,106.6220016,137.6119995,115.8280029,1642.4599609,17.0723991,93.6936035,100.4329987,77.2899017,222.4940033,53.5452995,33.9137993,194.9909973,72.8123016,27.2371006
79.4040985,1785.6800537,7.3551302,150.1869965,114.1100006,76.6082993,75.1607971,1674.3900146,7.3608298,91.0194016,96.7305984,42.8133011,211.7720032,54.0875015,28.4111996,197.5670013,67.9121017,25.0615997
73.8450012,1813.6099854,6.2266798,159.3910065,110.7730026,62.7421989,66.8448029,1681.5,6.0508699,93.9487,94.0781021,30.3367004,210.4810028,56.8252983,29.3952999,191.0249939,73.6669006,25.6014004
73.7500992,1819.5699463,6.2197399,159.9609985,110.9779968,62.0906982,64.7270966,1679.6999512,5.87992,93.8271027,93.9128036,30.4948006,210.5269928,56.9299011,28.4967995,190.7409973,73.3786011,25.2660999
77.0718994,1766.3100586,6.6605701,144.9909973,106.5940018,57.2999001,71.8934021,1680.7199707,6.6430802,93.0851974,92.4992981,22.2250996,211.0980072,60.7000008,29.7462006,184.8509979,81.2878036,26.4850006
73.5134964,1822.3900146,6.1443801,160.6340027,111.2490005,63.2265015,67.344902,1682.0799561,6.0358601,94.0419998,94.1930008,32.1691017,210.3809967,56.1142998,29.5734997,191.7259979,72.2347031,25.6044006
73.8188019,1809.2700195,6.1949701,158.9329987,110.5709991,63.5992012,68.3347015,1682.8100586,6.1901202,94.0376968,94.2015991,30.3764992,210.4340057,56.6534996,30.2665005,191.4629974,73.7850037,25.8943996
78.1733017,1761.6600342,6.6268401,142.0540009,106.5019989,56.9449005,73.2014008,1681.8900146,6.7392702,93.1115036,92.6406021,21.8584995,210.8110046,60.5149002,29.1551991,180.0820007,81.5197983,26.2073002
93.2341003,1667.7399902,11.2027998,151.2619934,105.0589981,102.9509964,93.7699966,1631.0500488,13.7175999,90.9134979,91.7995987,66.058197,219.4799957,56.4654007,34.9216003,201.4889984,74.1485977,28.9470005
73.828598,1809.7700195,6.2006898,158.9799957,110.5960007,63.4747009,68.1615982,1682.6500244,6.17273,94.0270996,94.1865997,30.3565006,210.4389954,56.6795006,30.1511993,191.3950043,73.7807007,25.8577003
136.1920013,1432.0,19.1580009,139.8690033,113.1080017,195.2810059,142.8769989,1516.1300049,24.5165005,86.9135971,107.1589966,123.6689987,207.0449982,44.4984016,31.2859993,191.973999,59.0231018,24.2063007
117.0690002,1552.7099609,14.3346004,127.8150024,116.0169983,142.9539948,121.5709991,1548.3100586,17.7021008,85.0438995,110.112999,94.7237015,202.5410004,47.3734016,27.4300003,191.1900024,61.0740013,22.5487003
86.4321976,1745.6300049,8.5138903,147.4140015,115.2949982,89.6884995,83.473999,1612.8000488,9.1305599,86.7735977,100.012001,55.9822006,214.1959991,51.6332016,27.6688995,198.9299927,65.2145996,23.7651005
109.5360031,1605.3100586,12.7227001,123.8809967,117.5080032,126.7509995,112.651001,1552.1199951,14.0762997,84.9209976,110.4869995,81.7182999,202.6640015,47.8258018,26.4027004,195.8439941,60.9920998,22.8628998
73.3135986,1838.2900391,5.92102,159.4440002,111.4229965,62.7701988,67.0354004,1681.2900391,6.0134001,94.086998,94.1679993,33.3558998,210.0939941,55.4578018,28.3279991,192.0890045,70.9788971,25.6609993
73.2238007,1831.7800293,5.9078698,152.9360046,110.9759979,60.5105019,61.9304008,1676.2900391,5.6002302,93.5501022,93.5845032,31.0785007,210.25,56.7915001,25.9913006,188.0090027,72.626297,23.7320995
75.3916016,1788.3599854,6.3605099,148.3999939,104.7409973,51.8972015,70.7698975,1681.3599854,6.62815,93.1934967,92.3895035,21.25,211.3350067,61.514801,31.2982998,193.2039948,82.8813019,27.1161995
