DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
261.4179993,194.9720001,155.1109924,40.4623985,41.6318016,3.17874,276.4960022,204.723999,162.6869965,38.0710983,43.6138,3.5850599,47.8782005,2079.5400391,4.2059999,61.2727013,60.0772018,2.5143299,50.0643997,2095.9299316,4.8231201,50.1118011,59.8674011,1.40666,219.6109924,82.7854996,39.385601,218.3139954,88.0233002,42.8151016
250.6549988,203.4909973,125.7180023,36.2336006,42.0522995,3.0032599,271.1919861,219.1730042,138.0269928,34.8203011,44.9440002,3.03596,57.8634987,2011.5300293,5.0835299,64.1277008,61.2244987,3.7995,55.9665985,2048.1699219,4.8811202,50.7989006,56.8328018,2.0355401,211.5650024,65.9019012,38.0985985,201.9779968,77.7329025,40.5997009
236.0700073,162.2359924,124.2730026,36.1146011,39.1758003,3.0264101,255.9120026,175.8659973,135.2200012,34.6986008,41.7510986,3.1466999,76.6529007,1927.5699463,5.3417802,63.8516006,63.9882011,4.83741,76.4252014,1951.1899414,6.4598598,51.293499,64.8154984,2.83639,212.572998,66.7496033,38.0103989,202.4199982,79.1194,40.7975006
258.2990112,191.3040009,147.7839966,40.2616005,41.3436012,3.1728201,275.6499939,203.826004,158.9349976,37.8753014,43.3139,3.65854,45.4089012,2084.4399414,4.0141101,61.1778984,59.0149994,1.95978,50.8735008,2086.5500488,4.9818101,50.1422005,55.5486984,1.38131,219.6600037,82.6018982,39.4914017,215.5410004,92.123497,42.7677994
236.0700073,175.0059967,115.5780029,34.8540001,40.1175995,2.9367099,261.7330017,198.2949982,130.3110046,33.8953018,43.4356995,3.01563,71.3463974,1951.3299561,5.22048,64.1504974,62.544899,4.4155898,68.4865036,2000.0400391,5.3320899,50.9617996,63.8628006,2.39414,210.4530029,64.9753036,38.5326004,194.7769928,76.5482025,41.0699997
235.9499969,162.5910034,123.4110031,36.0345001,39.1842003,3.0234301,255.8639984,177.401001,134.5200043,34.6296997,41.7612,3.12729,78.0759964,1919.0,5.29492,63.8163986,63.7228012,4.8787899,77.9135971,1947.6700439,6.3039598,51.2672005,64.905098,2.85553,212.2850037,65.8251038,37.9808998,199.8399963,78.7277985,40.7219009
259.1929932,195.5310059,150.0639954,40.4113007,41.4196014,3.18259,276.0740051,207.0930023,160.9779968,38.0102997,43.4609985,3.6436701,47.9255981,2093.3798828,4.2059398,61.4137993,61.6246986,2.2703099,51.6108017,2083.0900879,5.2796602,50.2103004,58.7435989,1.4509701,220.423996,85.808197,39.5035019,220.8580017,93.6549988,42.9631004
256.8699951,179.322998,136.0429993,38.0013008,42.5946999,3.16187,281.321991,192.0330048,148.5149994,36.0345001,45.4305992,3.2859001,64.3862991,1976.6199951,4.61902,62.4743004,59.8876991,3.5451701,64.2120972,2022.9699707,4.75773,49.2254982,60.8599014,2.0262499,219.5370026,69.8404999,39.4271011,200.0690002,80.6781998,41.8027992
245.1029968,174.0650024,125.552002,35.1955986,41.2146988,2.9677501,269.696991,191.298996,138.6159973,33.7384987,44.3627014,3.1305301,70.6682968,1949.1800537,4.83074,62.341301,60.7383003,4.0176301,68.8710022,2003.6700439,4.9854102,49.6511993,62.4542999,2.2845099,210.1360016,66.7941971,37.8778992,193.8000031,79.4423981,42.2844009
240.897995,180.220993,128.753006,36.0261993,40.5340996,2.9535601,263.1849976,189.852005,136.4550018,34.8149986,43.6647987,3.0649099,83.8864975,1899.9799805,5.4415998,64.4953003,64.185997,5.47931,85.6175003,1912.8599854,6.9907999,51.2644997,64.0294037,3.3631301,211.0679932,63.2784996,38.5299988,203.9459991,68.4714966,41.2136002
