H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
78.5590973,1761.6999512,6.6250401,141.427002,106.5339966,56.4574013,73.5029984,1682.1300049,6.7659898,93.1115036,92.6824036,21.7851009,210.7230072,60.4990997,28.7763996,178.128006,81.5467987,25.9029007,16.9
73.251297,1832.0100098,5.92524,153.8560028,111.0080032,60.6562004,61.8348007,1676.3199463,5.60852,93.5616989,93.5914993,31.1201,210.272995,56.7715988,26.1613998,188.3280029,72.5907974,23.8875999,16.9
73.7987976,1816.3299561,6.22296,159.6959991,110.8850021,62.5077019,66.1671982,1680.9300537,5.9895201,93.9144974,94.0299988,30.5090008,210.4909973,56.8196983,29.0692997,190.9609985,73.4721985,25.4818993,16.9
73.2067032,1826.9899902,6.0636601,161.5899963,111.8359985,64.1284027,68.7444,1683.4300537,6.0989299,94.1679993,94.3920975,34.3967018,210.3090057,55.4500999,30.4330006,192.3379974,70.6042023,25.7240009,0.0
77.1661987,1766.5300293,6.69977,145.0099945,106.7030029,57.1259003,71.8719025,1680.5699463,6.6412902,93.0728989,92.4981003,22.2723999,211.0970001,60.7089996,29.5431995,184.3419952,81.2121964,26.3344002,16.9
110.2630005,1601.3399658,12.8668003,124.2590027,117.4970016,128.4129944,113.314003,1551.9399414,14.2201004,84.9271011,110.4749985,81.9927979,202.6660004,47.7801018,26.5456009,195.5639954,60.9992981,22.8742008,0.0
73.3499985,1845.8599854,5.6834698,159.0549927,111.4440002,63.1171989,69.2382965,1682.9899902,6.22365,94.2957993,94.3668976,33.8838005,209.9049988,55.3544006,28.7884998,192.4550018,70.3383026,26.4999008,0.0
126.927002,1484.2900391,17.3423996,137.3379974,113.3690033,176.0679932,134.397995,1518.5200195,22.1285,86.8658981,107.2929993,115.8249969,207.048996,45.3814011,30.9312,194.6139984,59.2215996,24.1590004,5.6
103.6309967,1632.6600342,11.6350002,121.4150009,117.0709991,115.9499969,108.348999,1552.9300537,13.7476997,84.8900986,110.4779968,82.8740997,202.6239929,48.1865005,25.4365005,197.1170044,60.969101,22.4626999,0.0
116.8450012,1553.7299805,14.2876997,127.7229996,116.0009995,142.2420044,121.4179993,1548.3399658,17.6870003,85.0462036,110.1119995,94.742897,202.5299988,47.4048004,27.3602009,191.1239929,61.0653992,22.5237007,0.0
75.3324966,1790.7600098,6.19209,144.848999,102.9089966,43.7677994,72.6623993,1684.9799805,6.83144,93.3548965,92.4251022,18.9431992,211.602005,63.9952011,33.2221985,197.1759949,85.5755005,27.9510994,0.0
113.0210037,1578.3399658,13.4796,125.862999,116.4909973,134.0039978,117.3399963,1549.9100342,16.2248001,84.9989014,110.2509995,89.8588028,202.5599976,47.6623993,26.8104992,192.9190063,61.0158997,22.5618,11.3
103.8349991,1637.4399414,11.6281996,120.6740036,117.7839966,114.9639969,106.9349976,1553.8499756,12.7924004,84.8389969,110.6279984,78.8382034,202.7319946,48.0900002,25.5023994,199.326004,60.9798012,22.9736996,0.0
114.9570007,1557.0799561,13.441,121.9520035,115.4530029,134.2510071,117.7819977,1549.8499756,17.4470005,85.1004028,110.0429993,95.3180008,202.0950012,48.0112,26.2495003,190.3139954,60.262001,21.4766006,0.0
106.5810013,1622.0200195,12.1435003,122.2819977,117.6439972,120.3919983,109.7699966,1552.9899902,13.3908997,84.8856964,110.5550003,80.1196976,202.6809998,47.9841995,25.8948994,197.3529968,60.9756012,22.8778,0.0
