DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
290.6340027,218.1439972,152.8450012,41.4654999,41.165699,3.93571,260.9020081,235.3849945,138.5209961,35.4854012,35.9971008,4.1368599,226.7799988,99.0551987,40.618,218.2129974,114.401001,40.7601013,0.0
298.7950134,225.397995,159.5690002,41.2182999,42.5028,3.49998,282.9389954,246.8480072,151.4620056,35.5404015,39.3120995,3.71491,230.7870026,99.266098,41.5026016,225.5789948,113.177002,42.1711006,0.0
290.7179871,218.1970062,152.9109955,41.2652016,41.0844002,3.93205,261.1679993,235.9309998,138.654007,35.6231995,36.044899,4.16714,226.8339996,99.3302002,40.6077003,218.3000031,114.8259964,40.763401,0.0
249.1269989,197.2980042,128.4830017,38.7641983,37.2240982,3.8548501,261.3989868,220.8589935,136.1519928,30.5702,33.8370018,3.3771801,245.0140076,93.4797974,42.0050011,212.9609985,105.8610001,35.0699005,0.0
236.8419952,235.1369934,129.4790039,34.5262985,32.3328018,2.9116299,257.8370056,236.378006,140.8159943,32.3899994,35.0379982,3.3657801,224.401001,89.9319,133.7189941,213.272995,105.7900009,48.8693008,0.0
245.2259979,195.9609985,127.0800018,31.3178997,33.0427017,3.3655801,258.1839905,204.3430023,134.9940033,28.2896004,33.3671989,3.31828,244.6690063,88.4382019,42.0539017,211.3350067,103.9789963,35.0906982,0.0
276.5950012,218.6529999,148.4960022,40.9415016,38.9196014,3.85274,260.3699951,235.6049957,140.5370026,34.8633003,36.2575989,4.00458,239.2369995,98.4355011,42.7085991,227.8119965,114.5999985,41.239399,0.0
256.0969849,208.8860016,137.6629944,38.0556984,36.077301,3.64785,244.5189972,221.7570038,131.9420013,32.3428993,33.6617012,3.75071,238.0740051,95.7164993,43.6483994,225.4320068,110.487999,41.4420013,0.0
262.0360107,199.9380035,133.2640076,36.1234016,37.4724998,3.64552,270.4849854,213.7169952,139.5440063,30.1865997,35.0344009,3.513,238.897995,91.0783005,39.4296989,206.5540009,105.4919968,33.4215012,28.2
300.8510132,226.723999,160.4940033,49.3250008,44.8810997,3.8847599,280.7579956,254.2079926,150.8209991,37.3445015,39.1301003,3.9983201,232.2059937,102.8519974,41.8796005,235.8730011,114.9229965,42.4570999,0.0
269.2510071,210.477005,145.253006,39.6225014,37.6977997,3.7665701,259.2430115,235.8329926,140.6170044,35.398201,35.9827003,4.1205702,231.1710052,97.2108002,40.8275986,231.9109955,115.2969971,41.4612007,22.5
235.5809937,241.6649933,124.7580032,45.4269981,32.3096008,3.9260199,264.6480103,257.197998,140.6119995,33.0500984,35.4583015,3.42399,210.1269989,102.7080002,142.322998,190.4019928,108.1439972,40.3885994,0.0
239.8300018,238.2169952,126.1080017,43.6446991,34.9598007,3.9044499,267.3240051,249.7669983,141.647995,33.8235016,35.8027,3.5808599,209.8359985,99.9328995,135.022995,197.0070038,108.9250031,39.9917984,0.0
235.7480011,236.3419952,128.3769989,35.1946983,32.0374985,2.9513299,257.4060059,237.848999,140.2420044,31.7798996,34.8630981,3.0648501,221.6130066,90.3300018,137.2769928,206.6150055,104.5479965,48.6124001,0.0
298.9599915,225.5850067,159.6419983,41.6968002,42.7594986,3.4953001,282.5979919,247.2799988,151.3439941,35.4782982,39.2703018,3.68012,231.0440063,99.373703,41.5741005,226.8309937,112.913002,42.2252998,0.0
264.5939941,207.9949951,139.4160004,29.3868008,31.9951992,3.1719999,274.901001,207.9550018,145.2019958,28.5372009,35.9067993,3.24086,246.4830017,88.3339005,41.6825981,213.9140015,104.6070023,38.490799,16.9
203.8950043,217.4219971,108.663002,35.8059006,29.5965996,3.6184399,229.7109985,223.201004,122.8050003,29.3181,30.7094002,3.4789,213.7050018,94.0339966,133.5330048,203.7299957,106.0780029,42.2256012,22.5
311.401001,222.3670044,159.0019989,46.7846985,45.2724991,4.8074498,326.9670105,245.1490021,168.7940063,35.9869003,42.5140991,3.7193301,241.7890015,98.0140991,37.2495003,210.4920044,109.8259964,31.5331001,0.0
264.6659851,207.897995,139.3840027,28.9368,31.9939995,3.16733,275.2999878,206.9499969,145.3509979,28.3712997,35.946701,3.1586399,246.3159943,88.3199997,41.6189995,213.0330048,104.0410004,38.3226013,16.9
216.7640076,229.3269958,117.4649963,35.4639015,30.4549007,3.1010499,240.5379944,232.7030029,130.9660034,30.3717003,32.3030014,3.1580999,220.1360016,90.5997009,137.2870026,204.2380066,103.8359985,47.1185989,28.2
294.2479858,223.1329956,157.6199951,51.7221985,43.956501,4.0167298,275.9670105,256.9960022,148.8699951,38.1621017,38.5845985,4.16716,236.3540039,101.5299988,42.4887009,236.4149933,117.1709976,43.0021019,28.2
290.3299866,221.5930023,153.4309998,34.1389999,37.4822998,3.0211401,285.70401,227.802002,150.6999969,31.3792992,37.7201996,3.16589,245.4550018,93.4692993,43.169899,219.6179962,105.552002,37.827301,22.5
325.8980103,226.1699982,163.2859955,59.0619011,55.0079002,5.5769801,338.1210022,273.7709961,172.5010071,41.4155006,43.8303986,4.1623101,242.647995,104.6350021,37.0173988,213.6340027,114.2139969,31.3607998,0.0
300.2349854,226.3849945,160.2519989,47.3378983,44.1506004,3.8290801,280.92099,251.6869965,150.8560028,36.8264999,39.1315002,3.96226,231.9230042,101.822998,41.8047981,233.8399963,114.6330032,42.4026985,0.0
237.2910004,237.2149963,125.1149979,42.1910019,33.8237,3.9604499,266.1549988,244.6060028,141.0930023,32.6809006,35.5294991,3.3401999,211.576004,96.3712997,135.8809967,198.1309967,106.5059967,40.2757988,0.0
286.9630127,220.1060028,152.246994,30.7248993,35.5461998,2.8050399,285.5119934,223.6889954,150.5549927,30.2049999,37.6635017,2.98946,245.1340027,91.6947021,43.0036011,215.904007,104.7369995,37.6735992,22.5
