DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
198.9830017,119.072998,130.1970062,72.1612015,30.8966007,16.3386002,255.0879974,138.3139954,143.0529938,63.8862991,0.0,11.5867996,75.0870972,1797.0799561,6.4398499,151.6040039,107.4280014,55.9681015,68.6549988,1677.9200439,6.3250198,93.0976028,92.3003998,25.7740993,211.201004,59.7338982,29.7719002,192.1159973,78.6026001,26.4605999,0.0
205.7359924,110.1809998,120.2139969,58.4706001,31.4207993,19.8034992,228.772995,107.6340027,121.3470001,45.4048996,0.0,15.2296,126.8339996,1484.5600586,17.3507996,137.4170074,113.3560028,176.2839966,134.3679962,1518.4899902,22.1471004,86.864502,107.288002,116.0670013,207.0679932,45.3563995,31.0401993,194.8410034,59.1879997,24.2077999,5.6
198.6820068,115.9509964,130.2859955,72.3595963,30.8607006,16.3908005,254.3529968,135.7510071,141.9089966,63.6295013,0.0,11.8513002,74.8703995,1802.7800293,6.4331899,152.7590027,108.3059998,57.0000992,68.0681992,1676.9200439,6.2245002,93.0932007,92.2865982,27.7688999,211.1230011,59.0014992,29.4030991,192.4049988,76.8955002,26.3400993,0.0
208.6690063,86.308197,121.2979965,57.4457016,31.7297993,19.7035999,212.6589966,77.6901016,120.2539978,50.3311996,0.0,16.6485004,110.2220001,1578.6300049,12.8741999,127.9319992,115.0899963,111.8929977,117.9609985,1535.9899902,18.2756004,85.9212036,109.0749969,100.1230011,206.3650055,48.9623985,26.3057003,187.3390045,60.3101006,22.4619007,16.9
193.6360016,93.832901,130.1790009,69.5494003,30.7231007,20.5184994,233.1549988,103.552002,134.7160034,59.6082993,0.0,14.4373999,102.7200012,1627.6899414,12.3676004,145.9219971,112.1989975,115.0619965,98.8279037,1551.7299805,14.3859997,88.4252014,95.4738998,64.9300003,207.1829987,53.7795982,27.7112007,183.5559998,72.9141006,23.4832993,0.0
206.1569977,116.5759964,119.8809967,59.4187012,31.4713993,19.8796005,233.2709961,114.060997,119.6159973,45.1495018,0.0,15.1490002,131.7279968,1450.2099609,18.7068996,140.2949982,112.9140015,191.1519928,139.904007,1516.1199951,24.4885998,86.8915024,107.1050034,127.1230011,207.3090057,44.4412994,32.8021011,195.7059937,58.4984016,24.8866005,11.3
204.5509949,99.767601,121.9639969,54.6548004,31.2254009,19.1865005,230.279007,97.6679993,132.7519989,45.0691986,0.0,15.6820002,115.9199982,1563.0699463,14.0784998,127.1969986,116.5049973,141.4720001,119.7529984,1549.25,16.7460003,85.0026016,110.2190018,90.9076004,202.621994,47.3861008,27.4965992,192.6369934,61.0856018,22.7313004,11.3
204.5209961,103.2340012,122.1529999,52.3378983,31.1963005,18.5874996,238.727005,101.0339966,140.8220062,43.1255989,0.0,15.6245003,103.9100037,1636.6500244,11.6457005,120.7829971,117.7320023,115.2129974,107.1210022,1553.7600098,12.8734999,84.8439026,110.6149979,79.1455994,202.723999,48.0928001,25.5132999,199.125,60.9794998,22.9382,0.0
205.5169983,105.6169968,120.4029999,58.0433006,31.3952999,19.7831993,225.9199982,103.1709976,122.1610031,45.7210007,0.0,15.3105001,124.5169983,1500.8399658,16.6672993,135.8820038,113.5699997,168.4100037,131.7109985,1519.6199951,21.0426998,86.8553009,107.3789978,110.7600021,206.9179993,45.8443985,30.0216007,194.0010071,59.5469017,23.7970009,0.0
207.2709961,129.973999,118.7959976,60.8300018,31.5867996,19.9846001,245.9160004,130.3950043,116.1839981,43.9962997,0.0,14.6472998,146.154007,1367.8599854,21.8027,149.5119934,112.4860001,232.3959961,153.7870026,1511.7099609,27.9491005,86.9238968,106.810997,138.2339935,208.0149994,42.6381989,37.389801,195.8470001,58.0726013,26.3456001,0.0
