M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
203.9120026,3992.9099121,30.4328995,398.1409912,143.098999,12.9194002,265.696991,3895.8100586,42.4248009,365.506012,124.1350021,8.29879,220.0800018,81.6807022,131.6340027,206.0010071,99.3608017,46.1820984
165.6009979,4016.8898926,30.1516991,401.9330139,133.4409943,13.4729004,221.4880066,3942.5600586,42.0298004,361.0499878,120.0169983,8.6100702,224.4570007,88.7184982,132.5749969,212.6119995,105.1050034,48.8446999
195.5670013,4053.0,30.4155998,401.4320068,133.595993,13.427,255.6920013,3975.1499023,42.0602989,359.2749939,118.8639984,8.5631104,222.1009979,86.8454971,134.5780029,207.8130035,103.3470001,48.584301
150.2279968,4233.7202148,33.0624008,395.2579956,128.9230042,15.6244001,187.2359924,4230.2797852,42.9439011,346.1319885,116.7570038,7.9302301,237.8399963,93.7726974,39.4761009,211.4420013,107.2610016,33.4724998
99.6339035,4036.9099121,30.7931004,403.2369995,132.4550018,14.2955999,132.8730011,3969.8400879,41.4816017,361.4060059,120.6780014,8.6996098,235.0480042,98.6937027,43.3432999,227.8049927,112.1429977,43.6879005
176.5630035,4093.8701172,30.9078007,391.6359863,127.4540024,13.6195002,231.1589966,4057.8400879,43.3174019,352.3179932,114.5469971,8.4986401,218.9389954,89.5363007,137.2030029,206.522995,103.3180008,43.9589996
98.5095978,4009.8999023,30.1009998,409.92099,136.2839966,14.2110996,140.7460022,3925.5400391,42.1547012,362.1010132,123.5179977,8.7846203,228.3919983,96.3503036,42.8618011,222.9290009,110.1159973,41.3336983
123.8550034,4301.1499023,32.8389015,393.9500122,130.3329926,15.4988003,159.0019989,4316.3999023,43.3745995,341.6629944,117.4820023,8.1547098,236.9149933,99.5867996,37.3423004,211.6900024,113.4339981,30.7420006
129.7350006,4259.9199219,30.9789009,390.5150146,124.3199997,12.9635,170.5939941,4258.0698242,42.7627983,348.1119995,111.4990005,8.6489697,209.072998,100.387001,131.9929962,197.723999,109.913002,39.7719002
176.746994,4186.8798828,32.8009987,395.7269897,132.6410065,15.5689001,214.8119965,4202.9199219,42.8964996,348.3179932,118.1470032,7.8196402,240.6399994,94.5843964,39.5349007,211.1640015,106.6269989,33.4707985
147.4400024,4267.2900391,32.2299995,396.947998,130.0460052,14.7388,186.5119934,4268.2597656,42.1122017,346.1390076,117.2470016,7.9126601,233.4440002,98.9809036,36.3386002,207.5099945,111.0540009,30.9624996
