Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
1.02565,84.9413986,1.3124599,617.9539795,74.5358963,56.5992012,1.09813,73.1348038,1.31988,468.6119995,64.7577972,51.8987007,345.7000122,117.1620026,50.0541992,343.0079956,135.4290009,49.6230011
1.01718,81.5162964,1.3708301,652.9290161,74.1335983,61.0564003,1.13784,71.0739975,1.43657,513.2730103,65.0205002,57.4752998,355.526001,121.8639984,50.1969986,352.178009,139.9340057,50.9477005
0.949829,122.8799973,1.59664,580.2670288,103.5550003,54.8656006,1.0326,109.6200027,1.52991,390.6489868,89.7499008,50.3778992,355.3989868,94.0779037,50.1120987,347.519989,108.5279999,50.0728989
0.888832,91.0304031,1.25429,588.8569946,78.2533035,51.9034996,0.963014,76.8520966,1.40391,376.1570129,64.2825012,45.8706017,344.0299988,111.663002,47.3676987,329.6799927,123.5299988,45.6110001
1.15418,91.2556992,1.3182499,591.2789917,74.2085037,52.4244995,0.997685,75.9197998,1.08147,376.9760132,61.6286011,42.3754997,339.7529907,106.7399979,50.9196014,334.868988,123.526001,47.3204994
0.999424,88.7742996,1.2541,593.2009888,74.9733963,54.594799,1.03658,76.5344009,1.26728,428.0880127,65.4151993,48.1353989,344.0539856,115.5029984,49.6655006,343.4020081,131.9750061,50.3395004
0.945492,89.1468964,1.2701,581.8510132,76.5752029,51.9662018,0.974685,73.865097,1.30446,368.1839905,62.1880989,44.665699,347.4700012,112.9509964,49.4444008,341.0190125,123.7890015,47.8973999
0.966624,96.0549011,1.3351901,609.4000244,81.1369019,54.4971008,1.00973,80.392601,1.31692,389.7189941,66.5951996,46.8684006,349.8840027,106.6470032,52.155899,335.9989929,121.9599991,46.6097984
0.991331,124.939003,1.73124,618.9630127,107.9179993,58.2490005,1.0483299,113.6050034,1.6043,419.0780029,94.6841965,54.5908012,360.0429993,90.1238022,52.9001999,347.1530151,105.6419983,50.4390984
1.04663,148.3930054,1.84387,594.3720093,123.3909988,56.3082008,1.11256,136.5440063,1.63791,409.4570007,109.7200012,54.0583,356.9299927,80.5306015,50.1020012,347.9309998,97.8309021,51.3801003
1.15407,90.5923004,1.3322999,572.7150269,73.3066025,53.1380997,1.14134,74.7137985,1.25737,383.6059875,60.8050003,42.3212013,336.7539978,108.1569977,50.8056984,337.7489929,125.1330032,47.7845001
0.964191,94.3364029,1.29601,608.4799805,79.6785965,54.3501015,1.0070699,78.9765015,1.31081,386.1099854,65.3628998,46.1901016,349.7929993,108.8270035,51.1576004,336.019989,123.060997,46.5763016
0.974102,112.7669983,1.60198,596.7919922,97.0460968,56.3894005,1.04599,99.3408966,1.54287,394.1470032,83.0432968,50.8708992,356.821991,97.5372009,50.8978996,346.3789978,111.1529999,49.9163017
0.90121,90.066803,1.26679,587.8950195,75.4962006,54.2588005,0.933555,74.5679016,1.1604,380.6350098,62.1296997,44.9073982,346.7030029,106.4079971,55.4662018,342.4100037,123.9079971,48.6707001
1.00201,88.5861969,1.27212,593.2290039,74.4192963,54.5665016,1.03943,75.5008011,1.25936,422.8169861,63.9020996,47.4020996,343.9410095,112.8600006,50.5704002,343.2019958,129.802002,49.8678017
0.963893,94.0951996,1.286,608.1569824,79.2048035,54.3228989,1.00595,78.6905975,1.30366,385.428009,65.0250015,45.8908005,349.6749878,108.7419968,51.3726006,335.9859924,123.3199997,46.5904999
0.850332,92.0187988,1.16958,564.6309814,74.2841034,52.2439995,0.840637,78.1219025,1.06418,375.2139893,63.169899,42.7827988,341.1990051,112.5999985,51.7433014,340.0190125,128.2689972,50.9026985
0.996853,90.7160034,1.24832,591.8839722,74.7333984,54.3414993,1.02939,77.2806015,1.2477,413.3659973,64.1223984,46.4807014,343.9049988,113.4069977,50.5009003,343.348999,129.8059998,50.0934982
0.99054,128.0579987,1.7250201,618.4879761,109.4179993,58.2356987,1.04817,116.572998,1.60299,419.5950012,96.3742981,54.6621017,359.9949951,90.1613007,52.2795982,347.177002,105.3639984,50.4347
0.932688,88.262001,1.2341501,602.96698,74.2089996,54.2967987,1.01104,72.9572983,1.08875,405.7590027,61.1080017,46.0295982,347.5409851,109.0449982,55.1685982,347.0169983,127.086998,48.4948006
1.0404,86.4494019,1.3261,618.4559937,74.3407974,55.4721985,1.0917799,72.9329987,1.30589,451.3909912,63.1952019,49.846199,349.7990112,114.0009995,52.4835014,351.1669922,132.3950043,50.2128983
1.13255,82.9657974,1.39517,640.0750122,74.3355026,59.7412987,1.22438,71.6573029,1.43984,494.2780151,64.7457962,55.3568001,348.8680115,118.5070038,50.2622986,344.947998,136.0839996,50.4166985
0.997958,107.6910019,1.59747,601.6450195,93.5731964,55.7190018,1.01141,93.7949982,1.51658,390.2839966,78.9234009,50.7002983,360.1749878,98.8098984,53.2947006,353.3649902,113.0770035,50.2779999
0.963608,91.8722992,1.2440799,588.5130005,74.9955978,51.8796005,0.95476,76.8348007,1.17173,371.82901,62.1299019,42.601799,345.7120056,110.6760025,50.8030014,338.75,124.5250015,47.5050011
0.958741,108.4110031,1.49535,593.3510132,92.2975006,56.7755013,1.05217,94.3500977,1.52782,390.7890015,78.0780029,50.9496002,357.3940125,101.7460022,49.331501,346.151001,114.3099976,48.1856003
0.953797,106.2570038,1.44445,592.0219727,90.507103,56.6193008,1.04659,92.0301971,1.51694,385.2049866,76.6193008,49.9961014,357.3410034,104.1809998,48.3594017,346.2579956,115.4570007,48.2408981
0.943297,90.9804993,1.2489901,584.6090088,75.6316986,51.9990005,0.979888,75.6964035,1.2562701,369.3599854,62.0803986,43.3693008,346.1610107,110.7409973,51.4068985,337.8110046,124.2610016,47.6085014
0.825147,91.0519028,1.16508,542.5670166,73.2968979,49.6251984,0.828835,74.7718964,0.94731,347.1119995,59.8913994,39.2158012,343.7340088,112.9769974,51.6190987,346.8919983,126.7289963,49.4444008
0.940246,90.998703,1.23397,583.697998,74.9076004,51.8776016,0.974271,75.6832962,1.2475899,365.8909912,61.6422997,42.8917999,346.1669922,112.5650024,51.3396988,338.0230103,125.1340027,47.8839989
0.949617,131.7330017,1.64613,579.6749878,109.6640015,54.9595985,1.03222,118.4520035,1.5286601,393.5020142,95.8809967,50.9911995,355.3980103,90.4405975,49.9397011,347.70401,105.961998,50.4107018
0.986287,94.7912979,1.34111,624.0789795,79.3227005,55.5103989,1.00133,80.2578964,1.33452,402.5939941,66.5273972,48.0750008,350.7149963,107.3929977,53.1348991,337.1539917,122.0039978,47.3549004
0.99021,129.8009949,1.7366101,617.9379883,110.8509979,58.2174988,1.04768,118.2919998,1.60128,418.3940125,97.6628036,54.5784988,359.9700012,89.0616989,52.417099,347.2470093,104.6610031,50.5788994
0.941787,91.0011978,1.2412601,584.125,75.2574997,51.9345016,0.977032,75.7204971,1.25148,367.6380005,61.8662987,43.1086998,346.151001,111.6090012,51.3023987,337.9089966,124.6920013,47.7378006
0.931019,88.9394989,1.22932,604.8579712,74.7626038,54.5709,1.00788,72.0962982,1.08443,407.5710144,60.980999,46.0293999,347.7829895,108.4209976,58.4138985,347.0180054,126.7860031,48.3244019
0.983235,139.397995,1.82346,568.40802,119.0360031,56.4869003,1.06394,127.7839966,1.5556901,390.9289856,104.9850006,52.4822998,356.0820007,80.8067017,53.7849007,351.8819885,99.3393021,53.0868988
0.968421,140.5780029,1.64333,583.9680176,113.1159973,55.1803017,1.0120699,126.3880005,1.47243,402.2399902,100.0770035,51.6360016,355.8139954,90.2286987,47.571701,349.3460083,105.1569977,50.1001015
0.982161,85.0494003,1.28765,625.4349976,76.3442993,57.5312004,1.05058,75.1697998,1.42184,480.6109924,68.7098007,54.6226997,360.5270081,121.0930023,46.9558983,366.6270142,139.4649963,53.5205002
1.01766,81.4329987,1.37686,653.0599976,74.1171036,61.0568008,1.13907,71.2759018,1.43861,515.901001,65.2882996,57.7527008,355.5310059,122.427002,50.0601997,352.2279968,140.4140015,51.0066986
0.982384,84.8251038,1.28205,626.6489868,76.3233032,57.0269012,1.0784,75.0578003,1.43117,500.1619873,69.1820984,55.391201,351.7780151,122.2809982,45.8535004,352.1409912,141.0099945,51.8534012
1.04109,86.2100983,1.3312401,618.7210083,74.3751984,55.4962997,1.09333,72.9179993,1.3094701,454.3349915,63.3838997,50.1132011,349.8529968,114.5179977,52.264801,351.2250061,132.8910065,50.2661018
1.00029,89.5905991,1.26094,592.3560181,74.2910004,54.4143982,1.03519,75.9819031,1.24853,414.1610107,63.3380013,46.4429016,343.7919922,111.9919968,50.5251007,343.1130066,128.901001,49.7020988
0.975982,106.2009964,1.55564,598.2299805,91.7557983,56.3843994,1.04895,92.7866974,1.54819,395.9419861,77.9162979,50.8967018,356.8850098,101.163002,50.4738007,346.1830139,113.7249985,49.3791008
0.979301,148.0350037,1.85103,568.5570068,126.6650009,56.4446983,1.05826,136.3040009,1.55167,396.446991,111.4950027,52.5792007,356.1140137,78.3872986,52.9581985,351.8909912,96.7590027,52.9510994
