Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.803598,102.2360001,1.55389,264.8890076,38.0031013,4.6494498,0.83369,94.1716003,1.26986,205.9320068,37.7652016,3.15062,159.1900024,58.6520004,19.9759998,147.9960022,70.9661026,18.2078991
0.621602,105.4550018,1.5245,238.6159973,40.0129013,4.16326,0.671652,95.774498,1.3126,205.5160065,38.4869995,3.1194999,168.7720032,57.1833,19.7206993,157.7769928,66.501297,20.4272003
0.795272,101.8570023,1.55268,264.8280029,38.0147018,4.6119599,0.822146,93.7404022,1.26982,205.7480011,37.7807999,3.14607,158.5449982,58.524601,19.9666996,147.901001,70.7805023,18.1588001
0.963012,112.1050034,1.66851,239.1529999,43.5024986,5.2738099,0.932252,91.8554993,1.3415101,205.9349976,33.6025009,3.14429,160.5220032,64.0475006,20.0284996,146.2559967,79.7210999,17.8929996
0.685712,106.8880005,1.54567,229.4779968,42.6230011,4.1445899,0.694417,95.2827988,1.49366,204.2779999,39.425499,3.1438999,168.4060059,54.6635017,20.0890007,155.6920013,64.8386993,20.1210003
0.636567,104.4850006,1.51542,238.7310028,41.1489983,4.4463601,0.716083,95.0622025,1.31203,206.1699982,38.7192001,3.1409199,164.4609985,57.3019981,19.6182003,155.6089935,66.4661026,19.9055996
1.1475199,55.5820999,1.71055,230.9100037,19.0646,3.43612,0.887989,93.9000015,1.32505,222.9980011,34.8993988,3.39782,166.4409943,60.2277985,20.1853008,150.6529999,73.9810028,19.6714993
0.587384,117.288002,1.3251801,250.0299988,52.2406998,4.5735202,0.709994,93.0802994,1.5193,191.2050018,48.4163017,3.3656299,165.0249939,45.7389984,17.2364006,146.9600067,58.7713013,18.0314007
0.596153,105.3359985,1.51805,238.6840057,39.9239998,4.2376199,0.659168,96.4515991,1.31231,203.798996,38.3375015,3.10394,168.625,57.1589012,19.6832008,157.720993,66.0371017,20.1821003
0.752214,97.4178009,1.57144,236.8300018,36.5005989,3.5337501,0.69091,94.4432983,1.31528,211.9450073,38.2933998,3.2144101,173.6430054,57.3209,19.8773003,158.7330017,68.2916031,21.5210991
1.19573,189.029007,1.3781101,248.8059998,82.5255966,10.1429005,1.46035,159.3939972,1.51246,171.3650055,68.4197006,4.60184,196.677002,32.2952003,16.9703999,145.8869934,41.4044991,16.4514999
